Año;Numero de Mes;Mes;Destino;Volumen Exportado (kg);Valor FOB (USD);Precio FOB por kg (USD)
2014;7;Julio;Syria;;;
2014;7;Julio;USA;;;
2014;8;Agosto;Chile;;;
2014;8;Agosto;Lebanon;;;
2014;8;Agosto;Others;;;
2014;8;Agosto;Spain;;;
2014;8;Agosto;Syria;;;
2014;8;Agosto;USA;;;
2014;9;Septiembre;Chile;;;
2014;9;Septiembre;Lebanon;;;
2014;9;Septiembre;Others;;;
2014;9;Septiembre;Spain;;;
2014;9;Septiembre;Syria;;;
2014;9;Septiembre;USA;;;
2014;10;Octubre;Chile;;;
2014;10;Octubre;Lebanon;;;
2014;10;Octubre;Others;;;
2014;10;Octubre;Spain;;;
2014;10;Octubre;Syria;;;
2014;10;Octubre;USA;;;
2014;11;Noviembre;Chile;;;
2014;11;Noviembre;Lebanon;;;
2014;11;Noviembre;Others;;;
2014;11;Noviembre;Spain;;;
2014;11;Noviembre;Syria;;;
2014;11;Noviembre;USA;;;
2014;12;Diciembre;Chile;;;
2014;12;Diciembre;Lebanon;;;
2014;12;Diciembre;Others;;;
2014;12;Diciembre;Spain;;;
2014;12;Diciembre;Syria;;;
2014;12;Diciembre;USA;;;
2015;1;Enero;Chile;;;
2015;1;Enero;Lebanon;;;
2015;1;Enero;Others;;;
2015;1;Enero;Spain;;;
2015;1;Enero;Syria;;;
2015;1;Enero;USA;;;
2015;2;Febrero;Chile;;;
2015;2;Febrero;Lebanon;;;
2015;2;Febrero;Others;;;
2015;2;Febrero;Spain;;;
2015;2;Febrero;Syria;;;
2015;2;Febrero;USA;;;
2015;3;Marzo;Chile;;;
2015;3;Marzo;Lebanon;;;
2015;3;Marzo;Others;;;
2015;3;Marzo;Spain;;;
2015;3;Marzo;Syria;;;
2015;3;Marzo;USA;;;
2015;4;Abril;Chile;;;
2015;4;Abril;Lebanon;;;
2015;4;Abril;Others;;;
2015;4;Abril;Spain;;;
2015;4;Abril;Syria;;;
2015;4;Abril;USA;;;
2015;5;Mayo;Chile;;;
2015;5;Mayo;Lebanon;;;
2015;5;Mayo;Others;;;
2015;5;Mayo;Spain;;;
2015;5;Mayo;Syria;;;
2015;5;Mayo;USA;;;
2015;6;Junio;Chile;;;
2015;6;Junio;Lebanon;;;
2015;6;Junio;Others;;;
2015;6;Junio;Spain;;;
2015;6;Junio;Syria;;;
2015;6;Junio;USA;;;
2015;7;Julio;Chile;;;
2015;7;Julio;Lebanon;;;
2015;7;Julio;Others;;;
2015;7;Julio;Spain;;;
2015;7;Julio;Syria;;;
2015;7;Julio;USA;;;
2015;8;Agosto;Chile;;;
2015;8;Agosto;Lebanon;;;
2015;8;Agosto;Others;;;
2015;8;Agosto;Spain;;;
2015;8;Agosto;Syria;;;
2015;8;Agosto;USA;;;
2015;9;Septiembre;Chile;;;
2015;9;Septiembre;Lebanon;;;
2015;9;Septiembre;Others;;;
2015;9;Septiembre;Spain;;;
2015;9;Septiembre;Syria;;;
2015;9;Septiembre;USA;;;
2015;10;Octubre;Chile;;;
2015;10;Octubre;Lebanon;;;
2015;10;Octubre;Others;;;
2015;10;Octubre;Spain;;;
2015;10;Octubre;Syria;;;
2015;10;Octubre;USA;;;
2015;11;Noviembre;Chile;;;
2015;11;Noviembre;Lebanon;;;
2015;11;Noviembre;Others;;;
2015;11;Noviembre;Spain;;;
2015;11;Noviembre;Syria;;;
2015;11;Noviembre;USA;;;
2015;12;Diciembre;Chile;;;
2015;12;Diciembre;Lebanon;;;
2015;12;Diciembre;Others;;;
2015;12;Diciembre;Spain;;;
2015;12;Diciembre;Syria;;;
2015;12;Diciembre;USA;;;
2016;1;Enero;Chile;;;
2016;1;Enero;Lebanon;;;
2016;1;Enero;Others;;;
2016;1;Enero;Spain;;;
2016;1;Enero;Syria;;;
2016;1;Enero;USA;;;
2016;2;Febrero;Chile;;;
2016;2;Febrero;Lebanon;;;
2016;2;Febrero;Others;;;
2016;2;Febrero;Spain;;;
2016;2;Febrero;Syria;;;
2016;2;Febrero;USA;;;
2016;3;Marzo;Chile;;;
2016;3;Marzo;Lebanon;;;
2016;3;Marzo;Others;;;
2016;3;Marzo;Spain;;;
2016;3;Marzo;Syria;;;
2016;3;Marzo;USA;;;
2016;4;Abril;Chile;;;
2016;4;Abril;Lebanon;;;
2016;4;Abril;Others;;;
2016;4;Abril;Spain;;;
2016;4;Abril;Syria;;;
2016;4;Abril;USA;;;
2016;5;Mayo;Chile;;;
2016;5;Mayo;Lebanon;;;
2016;5;Mayo;Others;;;
2016;5;Mayo;Spain;;;
2016;5;Mayo;Syria;;;
2016;5;Mayo;USA;;;
2016;6;Junio;Chile;;;
2016;6;Junio;Lebanon;;;
2016;6;Junio;Others;;;
2016;6;Junio;Spain;;;
2016;6;Junio;Syria;;;
2016;6;Junio;USA;;;
2016;7;Julio;Chile;;;
2016;7;Julio;Lebanon;;;
2016;7;Julio;Others;;;
2016;7;Julio;Spain;;;
2016;7;Julio;Syria;;;
2016;7;Julio;USA;;;
2016;8;Agosto;Chile;;;
2016;8;Agosto;Lebanon;;;
2016;8;Agosto;Others;;;
2016;8;Agosto;Spain;;;
2016;8;Agosto;Syria;;;
2016;8;Agosto;USA;;;
2016;9;Septiembre;Chile;;;
2016;9;Septiembre;Lebanon;;;
2016;9;Septiembre;Others;;;
